id,championship_id,circuit_id,name,round_number,season,start_date,end_date,is_confirmed,is_cancelled,metadata,created_at,updated_at
51c5ea70-be73-4de0-a880-88d2c21d644e,4510b607-ecca-4c02-875b-ae25ab2a9784,ef6663ac-5984-4235-b0d9-35019c40777c,Anduril 250,19,2026,2026-06-19,2026-06-21,true,false,"{""is_non_points"":false}",2025-12-26 18:33:36.245963+00,2026-02-14 12:11:21.952437+00
53558e93-a2eb-4fad-a854-248dbd736f18,e6b50f04-9ffe-479b-bf96-89560b99131b,a1438f5b-9dad-4797-949e-36609c947a81,Hungarian Grand Prix,13,2026,2026-07-24,2026-07-26,true,false,"{""has_sprint"":false}",2025-12-26 16:23:56.680823+00,2025-12-26 16:34:26.473244+00
53b7f878-89df-4e31-a665-505fc4fec075,e21003ed-3d72-42af-b8b5-56e61e60ebd5,e2931f9b-016c-4adb-af40-6db48378c5c1,Roar Before The 24,0,2026,2026-01-16,2026-01-18,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
53f160c4-ad38-43dd-bc6a-76363b4f53ed,4510b607-ecca-4c02-875b-ae25ab2a9784,683202be-a77f-4147-8799-3a6387025f65,Bank of America 400,34,2026,2026-10-09,2026-10-11,true,false,"{""is_non_points"":false}",2025-12-26 18:33:40.979013+00,2026-02-14 12:19:15.451359+00
55d697d4-e643-44d3-9b36-18dfd4a22d1f,2d114ce9-fade-42d1-bc31-1da74faacf26,faf9849d-35ee-4681-8975-97747fab17c1,Dekra Lausitzring,3,2026,2026-06-19,2026-06-21,true,false,{},2026-02-08 18:05:02.612779+00,2026-02-08 18:05:02.612779+00
56d7a414-c794-47b6-9bfc-03ad3e41f397,50c0f5ce-fd98-480e-bef6-4f98b8af9846,fb887c08-5f29-4dc3-975c-d89b82990513,London E-Prix,16,2026,2026-08-15,2026-08-16,true,false,{},2025-12-26 18:47:25.738779+00,2026-01-05 10:02:24.373848+00
5a035274-7d5f-443a-9b2a-f539131fef76,e6b50f04-9ffe-479b-bf96-89560b99131b,161baa93-7ae8-41b7-b54f-35b3679c1e82,United States Grand Prix,19,2026,2026-10-23,2026-10-25,true,false,"{""has_sprint"":false}",2025-12-26 16:23:58.355743+00,2025-12-26 16:34:28.732124+00
5b2355be-644a-472f-a518-6aa2a209fd52,e6b50f04-9ffe-479b-bf96-89560b99131b,f3f51b64-d2ca-4073-93bd-99081b4bdd11,Mexico City Grand Prix,20,2026,2026-10-30,2026-11-01,true,false,"{""has_sprint"":false}",2025-12-26 16:23:58.72682+00,2025-12-26 16:34:29.105342+00
5c037f83-2f4a-4894-ab3b-fafd9e628ef6,0d273401-4838-43fc-a908-cd5087ec6430,805e2a42-3528-4433-a398-a3127b5456a6,Brazilian GP,2,2026,2026-03-20,2026-03-22,true,false,{},2025-12-26 18:47:27.746412+00,2025-12-26 18:47:27.746412+00
5d25098e-07ef-48f1-bed5-7f236723edce,e21003ed-3d72-42af-b8b5-56e61e60ebd5,354b5487-8d7a-4606-9552-dfc30559aeef,Chevrolet Detroit Grand Prix,5,2026,2026-05-29,2026-05-31,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
6013e0ea-ccdc-46e4-88b4-64591fbb1838,0d273401-4838-43fc-a908-cd5087ec6430,e11d6491-2523-418c-a276-ef527e1e3cff,Thai GP,1,2026,2026-02-27,2026-03-01,true,false,{},2025-12-26 18:47:27.408513+00,2026-02-07 06:09:20.5333+00
607d50c2-0bc7-4796-8533-2ca83cfded27,0d273401-4838-43fc-a908-cd5087ec6430,2f7fb3be-7081-457a-ad82-e96b1e3d6a0e,Japanese GP,17,2026,2026-10-02,2026-10-04,true,false,{},2025-12-26 18:47:32.017998+00,2025-12-26 18:47:32.017998+00
6439666d-101b-4f5d-88b3-4faa8ac683b0,59d39d6c-f8a5-4096-9044-54268ef8b1ea,c3ef2f0f-cf14-4d17-93e3-80177335a0d9,Magny-Cours,6,2026,2026-07-31,2026-08-02,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
64b75413-4daa-4b46-a4c3-85c0c174eb24,e6b50f04-9ffe-479b-bf96-89560b99131b,3ab86f39-7314-43ad-b6e3-7e81ca46e56d,Austrian Grand Prix,10,2026,2026-06-26,2026-06-28,true,false,"{""has_sprint"":false}",2025-12-26 16:23:55.54041+00,2025-12-26 16:34:25.329228+00
65e0f6d6-787e-4fbe-8ee2-64b2175b4717,4510b607-ecca-4c02-875b-ae25ab2a9784,3b48fd7a-2c58-46a9-b092-e97d6e88159e,Hollywood Casino 400,32,2026,2026-09-25,2026-09-27,true,false,"{""is_non_points"":false}",2025-12-26 18:33:40.216692+00,2025-12-26 18:33:40.216692+00
65f28f44-6436-4f49-b07a-b1d0bb62e6e6,0d273401-4838-43fc-a908-cd5087ec6430,3ab86f39-7314-43ad-b6e3-7e81ca46e56d,Austrian GP,16,2026,2026-09-18,2026-09-20,true,false,{},2025-12-26 18:47:31.752422+00,2025-12-26 18:47:31.752422+00
680c7634-7416-477d-9bad-49899b24ac6e,0d273401-4838-43fc-a908-cd5087ec6430,07c56b04-5a95-48b9-ae08-4da9562a757b,Aragon GP,14,2026,2026-08-28,2026-08-30,true,false,{},2025-12-26 18:47:31.210669+00,2025-12-26 18:47:31.210669+00
69abc5d6-4ab9-4261-9904-9e365661d09f,e6b50f04-9ffe-479b-bf96-89560b99131b,9b04606c-85ce-4182-a004-a7d041b29298,São Paulo Grand Prix,21,2026,2026-11-06,2026-11-08,true,false,"{""has_sprint"":false}",2025-12-26 16:23:59.10648+00,2025-12-26 16:34:29.4597+00
6a20045c-af09-4b75-9ff7-48bc9c1ded82,4510b607-ecca-4c02-875b-ae25ab2a9784,aacb0f77-9062-423e-b400-04982fd9a8fd,Cracker Barrel 400,16,2026,2026-05-29,2026-05-31,true,false,"{""is_non_points"":false}",2025-12-26 18:33:35.32652+00,2026-02-14 12:10:15.806584+00
